"","date","completion","channel","consent","involvement","involvement_other","stakeholder_type","stakeholder_type_other","title","role_duration","dietary_health_ranking","dietary_sustainability_ranking","institutional_sustainability_ranking","food_pricing_ranking","operational_costs_ranking","guest_satisfaction_ranking","worker_satisfaction_ranking","campus_culture_ranking","id","dietary_health_score","dietary_sustainability_score","institutional_sustainability_score","food_pricing_score","operational_costs_score","guest_satisfaction_score","worker_satisfaction_score","campus_culture_score"
"21","2024-10-02 12:43:30","100","qr","I wish to participate","I am a primary decision maker","","Dining director","","Executive Director dining ","2",5,2,3,7,1,4,1,8,21,4,7,7,2,8,5,8,1
"22","2024-10-02 12:43:38","100","qr","I wish to participate","I am a primary decision maker","","University administrator","","Asst. Vice Provost","16",6,5,4,3,2,1,7,8,22,3,4,6,6,7,8,2,1
"23","2024-10-02 12:43:52","100","qr","I wish to participate","I consult on best practices","","Nutrition specialist","","Dietitian","3",1,2,6,8,7,3,7,5,23,8,7,4,1,2,6,2,4
"24","2024-10-02 12:44:02","100","qr","I wish to participate","I consult on best practices","","Sustainability coordinator","","",".1",6,2,1,5,4,8,4,7,24,3,7,9,4,5,1,5,2
"25","2024-10-02 12:44:04","100","qr","I wish to participate","I offer feedback on existing services","","Nutrition specialist","","Registered Dietitian","3",2,5,6,3,8,1,8,7,25,7,4,4,6,1,8,1,2
"26","2024-10-02 12:44:16","100","qr","I wish to participate","I consult on best practices","","Sustainability coordinator","","Director of sustainability","10",3,5,1,6,8,4,8,2,26,6,4,9,3,1,5,1,7
"27","2024-10-02 12:44:22","100","qr","I wish to participate","I am a primary decision maker","","Sustainability coordinator","","Regional Sustainability Manager","2",6,5,4,2,8,3,8,7,27,3,4,6,7,1,6,1,2
"28","2024-10-02 12:44:39","100","qr","I wish to participate","I consult on best practices","","Dining director","","Associate Director, Food and beverage","5",5,8,6,1,7,2,7,4,28,4,1,4,8,2,7,2,5
"29","2024-10-02 12:44:43","100","qr","I wish to participate","I consult on best practices","","Other (please specify):","Manager of residential dining ","Halls cluster manger ","2",3,5,4,7,8,2,8,6,29,6,4,6,2,1,7,1,3
"30","2024-10-02 12:44:44","100","qr","I wish to participate","I consult on best practices","","Other (please specify):","Dining marketing ","Marketing manager ","3",2,4,3,6,7,1,7,8,30,7,5,7,3,2,8,2,1
"31","2024-10-02 14:20:00","100","qr","I wish to participate","I am a primary decision maker","","Dining director","","Dining Director ","3",5,6,7,8,2,4,2,1,31,4,3,3,1,7,5,7,8
"32","2024-10-04 07:14:22","100","qr","I wish to participate","I offer feedback on existing services","","Other (please specify):","marketing","","",3,6,8,2,5,4,5,7,32,6,3,2,7,4,5,4,2
